University,Community College,Year,University Course,CC Course,Logic
"California Polytechnic University, Pomona",East Los Angeles College,2025,"BIO 1150, BIO 1150L - Biology and Society, Biology and Society Laboratory",BIOLOGY 006 - General Biology I,OR
"California Polytechnic University, Pomona",East Los Angeles College,2025,"BIO 1150, BIO 1150L - Biology and Society, Biology and Society Laboratory",BIOLOGY 007 - General Biology II,OR
"California Polytechnic University, Pomona",East Los Angeles College,2025,CS 1300 - Discrete Structures,CS 131 - Discrete Structures for Computer Science,OR
"California Polytechnic University, Pomona",East Los Angeles College,2025,CS 1300 - Discrete Structures,MATH 272 - Methods of Discrete Mathematics,OR
"California Polytechnic University, Pomona",East Los Angeles College,2025,CS 1400 - Introduction to Programming and Problem Solving,CS 213 - Advanced Programming in Java,SINGLE
"California Polytechnic University, Pomona",East Los Angeles College,2025,CS 2400 - Data Structures and Advanced Programming,CS 136 - Introduction to Data Structures,OR
"California Polytechnic University, Pomona",East Los Angeles College,2025,CS 2400 - Data Structures and Advanced Programming,MATH 273 - Introduction to Data Structures and Algorithms,OR
"California Polytechnic University, Pomona",East Los Angeles College,2025,CS 2520 - Python for Programmers,CS 119 - Programming in Python,SINGLE
"California Polytechnic University, Pomona",East Los Angeles College,2025,CS 2640 - Computer Organization and Assembly Programming,CS 130 - Introduction to Computer Architecture and Organization,SINGLE
"California Polytechnic University, Pomona",East Los Angeles College,2025,"MAT 1140, MAT 1150 - Calculus I, Calculus II",MATH 261 - Calculus I,SINGLE
"California Polytechnic University, Pomona",East Los Angeles College,2025,"MAT 1140, MAT 1150 - Calculus I, Calculus II",MATH 262 - Calculus II,SINGLE
"California Polytechnic University, Pomona",East Los Angeles College,2025,"PHY 1510, PHY 1510L - Introduction to Newtonian Mechanics, Newtonian Mechanics Laboratory",PHYSICS 101 - Physics for Engineers and Scientists I,SINGLE
"California Polytechnic University, Pomona",Mount San Antonio College,2025,"BIO 1150, BIO 1150L - Biology and Society, Biology and Society Laboratory",BIOL 4 - Biology for Majors,OR
"California Polytechnic University, Pomona",Mount San Antonio College,2025,"BIO 1150, BIO 1150L - Biology and Society, Biology and Society Laboratory",BIOL 4H - Biology for Majors - Honors,OR
"California Polytechnic University, Pomona",Mount San Antonio College,2025,CS 1300 - Discrete Structures,CSCI 190 - Discrete Mathematics Applied to Computer Science,SINGLE
"California Polytechnic University, Pomona",Mount San Antonio College,2025,CS 1400 - Introduction to Programming and Problem Solving,CISP 21 - Programming in Java,OR
"California Polytechnic University, Pomona",Mount San Antonio College,2025,CS 1400 - Introduction to Programming and Problem Solving,CISP 21L - Programming in Java Laboratory,OR
"California Polytechnic University, Pomona",Mount San Antonio College,2025,CS 1400 - Introduction to Programming and Problem Solving,CSCI 145 - Java Language and Object Oriented Programming,OR
"California Polytechnic University, Pomona",Mount San Antonio College,2025,CS 2400 - Data Structures and Advanced Programming,CSCI 240 - Data Structures and Algorithms,SINGLE
"California Polytechnic University, Pomona",Mount San Antonio College,2025,CS 2410 - Fundamentals of Data Science,CISD 41 - Introduction to Data Science,SINGLE
"California Polytechnic University, Pomona",Mount San Antonio College,2025,CS 2520 - Python for Programmers,CISP 74 - Advanced Programming in Python,AND
"California Polytechnic University, Pomona",Mount San Antonio College,2025,CS 2520 - Python for Programmers,CISP 74L - Advanced Programming in Python Laboratory,AND
"California Polytechnic University, Pomona",Mount San Antonio College,2025,CS 2560 - C++ Programming,CSCI 140 - C++ Language and Object Development,SINGLE
"California Polytechnic University, Pomona",Mount San Antonio College,2025,CS 2640 - Computer Organization and Assembly Programming,CSCI 150 - Assembly Language/Machine Architecture,SINGLE
"California Polytechnic University, Pomona",Mount San Antonio College,2025,MAT 1140 - Calculus I,MATH 180 - Calculus and Analytic Geometry I,SINGLE
"California Polytechnic University, Pomona",Mount San Antonio College,2025,MAT 1150 - Calculus II,MATH 181 - Calculus and Analytic Geometry II,SINGLE
"California Polytechnic University, Pomona",Mount San Antonio College,2025,"PHY 1510, PHY 1510L - Introduction to Newtonian Mechanics, Newtonian Mechanics Laboratory",PHYS 4A - Engineering Physics,SINGLE
